url,length,dots,has_at,has_ip,suspicious_keywords,has_https,special_chars,label
https://user@jrspqh.com/d7o5e,29,1,1,0,0,1,1,1
https://gqzutc.com,18,1,0,0,0,1,1,0
https://qyezau.com,18,1,0,0,0,1,1,0
https://dkznx.com,17,1,0,0,0,1,1,0
http://imtqtqip.com,19,1,0,0,0,0,1,0
http://user@171.40.83.12/offer/Z62Eo7jdLFGi,43,3,1,1,1,0,3,1
https://gmfalaclard.com/yUfdzzKwCHwR,36,1,0,0,0,1,1,0
https://cxnyicqdinbi.com,24,1,0,0,0,1,1,1
https://lbkfm.com,17,1,0,0,0,1,1,1
https://ooyew.com,17,1,0,0,0,1,1,0
https://hplgl.com,17,1,0,0,0,1,1,0
https://fpllodqit.com/verify/usQEG,34,1,0,0,1,1,1,1
https://apbhnwp.com,19,1,0,0,0,1,1,1
https://cvudqypeo.com/confirm/k7S3iy3z,38,1,0,0,1,1,1,1
http://cvntiyyux.com/W1W7YG0pJ,30,1,0,0,0,0,1,0
https://224.229.78.18,21,3,0,1,0,1,3,1
https://qtknoonnlzpk.com/w4DHj,30,1,0,0,0,1,1,0
https://qepwck.com/webscr/FgVzMGy,33,1,0,0,1,1,1,1
https://154.124.157.75,22,3,0,1,0,1,3,1
https://tfdveguhsi.com/webscr/JDojdmXEdjM,41,1,0,0,1,1,1,1
https://mvquunp.com/confirm/_Xi5OQaMSo,38,1,0,0,1,1,2,1
https://zwcrinvnqt.com,22,1,0,0,0,1,1,0
https://ksdfuhtxiiz.com,23,1,0,0,0,1,1,0
https://vgujjzu.com/update/D6GDaY2_,35,1,0,0,1,1,2,1
https://ohphm.com,17,1,0,0,0,1,1,0
https://user@nzwoztktpxk.com,28,1,1,0,0,1,1,1
https://abyszski.com/6BJKZW335H6c0,34,1,0,0,0,1,1,0
https://user@110.193.146.158/WHIWUWRF5nc7,41,3,1,1,0,1,3,1
https://fgkdduywyqf.com/NRpOx46oj,33,1,0,0,0,1,1,1
https://fjqedtziwgnz.com,24,1,0,0,0,1,1,1
https://zpjirsbmdw.com/G8m5QHUU,31,1,0,0,0,1,1,0
https://ohyaffbtsjc.com,23,1,0,0,0,1,1,0
https://izrxmgpjpbhu.com/YF2gqX6o6QH,36,1,0,0,0,1,1,0
http://unabkksyhxc.com,22,1,0,0,0,0,1,0
https://kfbrpvl.com,19,1,0,0,0,1,1,1
https://jpejwidw.com,20,1,0,0,0,1,1,0
https://iyyzmhrsrse.com/webscr/iNG-f,36,1,0,0,1,1,2,1
https://ukiiuwujg.com/hZOrd_LH,30,1,0,0,0,1,2,0
https://kdmrheaf.com/pkBkghskJgeG,33,1,0,0,0,1,1,0
http://dxeeqymr.com/secure/aGuV1FM,34,1,0,0,1,0,1,1
https://158.172.239.218/f4Kh7,29,3,0,1,0,1,3,1
http://myswaysmpal.com/1C-CI3-dXRZ,34,1,0,0,0,0,3,0
http://user@tncauo.com/login/ryRSw1,35,1,1,0,1,0,1,1
https://ywjxtzrnipr.com,23,1,0,0,0,1,1,0
https://nddzhn.com/update/br8xK,31,1,0,0,1,1,1,1
https://jdsajsv.com,19,1,0,0,0,1,1,0
http://hpxjoqqwqej.com/p_oBBp-tzquCx6,37,1,0,0,0,0,3,0
https://tbzjwq.com,18,1,0,0,0,1,1,0
https://ensvg.com/VHwzbZ,24,1,0,0,0,1,1,0
https://sopmbdi.com/anoIGkV4w,29,1,0,0,0,1,1,0
https://vljtuevazhwt.com,24,1,0,0,0,1,1,0
https://whujhm.com/update/90m539wy,34,1,0,0,1,1,1,1
https://jtccyns.com,19,1,0,0,0,1,1,0
https://user@kqwbijwfk.com/confirm/QVTWuKN,42,1,1,0,1,1,1,1
https://ysoxwks.com/MNcaNXRGZ,29,1,0,0,0,1,1,0
https://fvqby.com/account/NXCP_A4,33,1,0,0,1,1,2,1
https://pbvjizoppdi.com/7hrUckUVKGKe,36,1,0,0,0,1,1,0
http://dvcqxtxz.com,19,1,0,0,0,0,1,1
https://cfoxks.com,18,1,0,0,0,1,1,0
http://uuiwqmsv.com,19,1,0,0,0,0,1,0
https://vdctfam.com/EOq7_SWpyB5,31,1,0,0,0,1,2,0
https://ebtxmlg.com/bonus/NqU1xMu,33,1,0,0,1,1,1,1
https://lufniak.com,19,1,0,0,0,1,1,1
https://zzpglvsoo.com,21,1,0,0,0,1,1,0
https://rvzure.com/Zr3Iwus9Qj5gHU,33,1,0,0,0,1,1,0
https://yqezkdiuhi.com/zCOcky2bVhV,34,1,0,0,0,1,1,1
https://hmxcnl.com,18,1,0,0,0,1,1,0
https://user@44.247.172.144/free/XIv8Ydg0P,42,3,1,1,1,1,3,1
https://user@164.19.9.121/free/17dyl,36,3,1,1,1,1,3,1
https://tjqgbld.com,19,1,0,0,0,1,1,0
http://user@wzkhg.com/account/WD0RiHB0,38,1,1,0,1,0,1,1
https://sjhkhzyl.com/oE40UkTjU9,31,1,0,0,0,1,1,0
http://aterbhhozcie.com,23,1,0,0,0,0,1,0
https://lztunjpf.com,20,1,0,0,0,1,1,0
https://ckulum.com,18,1,0,0,0,1,1,0
https://bjpepvape.com/u9BDF6K,29,1,0,0,0,1,1,1
https://vptiluop.com,20,1,0,0,0,1,1,0
https://ikgbvz.com/confirm/dwrag,32,1,0,0,1,1,1,1
https://user@lkezrjbkur.com/webscr/y8Fj73cF3Mop,47,1,1,0,1,1,1,1
https://pixisksp.com/DTzk9P,27,1,0,0,0,1,1,0
https://iqaofmuzddpo.com/NfM5-MmM3KP,36,1,0,0,0,1,2,1
http://tlsfowy.com/4depNLn,26,1,0,0,0,0,1,0
http://user@247.133.206.20/secure/SMbCh,39,3,1,1,1,0,3,1
https://wljfnbb.com,19,1,0,0,0,1,1,0
https://fqlsfhjjnz.com/confirm/ljjG9ei,38,1,0,0,1,1,1,1
https://kmctnxdomlub.com/cfv_2,30,1,0,0,0,1,2,0
https://xqhtoqg.com/3ULZc5,26,1,0,0,0,1,1,0
https://ragouiuo.com,20,1,0,0,0,1,1,0
